
Plan name:,THE WILLIAMS INVESTMENT PLUS PLAN
Date Range,01/01/1990 - 12/01/2015,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
03/31/2010,TRP INST SM CAP STK,Withdrawals,"-8.09","-0.688"
03/31/2010,TRP INST SM CAP STK,Investment Return,"0.47","0.000"
03/02/2010,TRP INST SM CAP STK,Investment Return,"7.62","0.688"
04/07/2008,TRP INST SM CAP STK,Withdrawals,"-30.66","-2.800"
04/07/2008,TRP INST SM CAP STK,Investment Return,"1.06","0.000"
03/31/2008,TRP SM CAP STOCK,Investment Return,"0.26","0.000"
03/31/2008,TRP SM CAP STOCK,Exchange Out,"-29.60","-1.092"
03/31/2008,TRP INST SM CAP STK,Exchange In,"29.60","2.800"
01/18/2008,TRP SM CAP STOCK,Investment Return,"29.34","1.092"
07/19/2007,WMB COMMON STOCK FD,Withdrawals,"-1,835.22","-53.762"
07/19/2007,WMB COMMON STOCK FD,Investment Return,"1,542.62","0.000"
07/19/2007,TRP SM CAP STOCK,Withdrawals,"-2,532.18","-67.633"
07/19/2007,TRP SM CAP STOCK,TERMINATED MAINTENANCE,"-22.50","-0.601"
07/19/2007,TRP SM CAP STOCK,Investment Return,"766.71","0.000"
07/06/2007,TRP SM CAP STOCK,RECORDKEEPING FEE,"-10.50","-0.281"
07/06/2007,TRP SM CAP STOCK,Investment Return,"3.18","0.000"
06/28/2007,WMB COMMON STOCK FD,Investment Return,"0.08","0.002"
06/11/2007,WMB COMMON STOCK FD,Investment Return,"5.36","0.176"
04/05/2007,TRP SM CAP STOCK,RECORDKEEPING FEE,"-12.00","-0.337"
04/05/2007,TRP SM CAP STOCK,Investment Return,"3.22","0.000"
03/26/2007,WMB COMMON STOCK FD,Investment Return,"4.80","0.170"
01/08/2007,TRP SM CAP STOCK,RECORDKEEPING FEE,"-12.00","-0.355"
01/08/2007,TRP SM CAP STOCK,Investment Return,"2.75","0.000"
12/26/2006,WMB COMMON STOCK FD,Investment Return,"4.79","0.181"
